City,Scene ID,Path,Row,Date,Cloud cover (%)
2015,,,,,
Hyderabad,LC81440482015141LGN01,144,48,21-05-2015,0.45
Ahmedabad,LC81480442015137LGN02,148,44,17-05-2015,0
,LC81490442015144LGN01,149,44,24-05-2015,0.04
Pune,LC81470472015130LGN01,147,47,10-05-2015,0.06
Surat,LC81480452015089LGN01,148,45,30-03-2015,0
2020,,,,,
Hyderabad,LC81440482020091LGN00,144,48,31-03-2020,0.01
Ahmedabad,LC81480442020119LGN00,148,44,05-05-2020,0.02
,LC81490442020126LGN00,149,44,05-05-2020,0
Pune,LC81470472020128LGN00,147,47,07-05-2020,0.01
Surat,LC81480452020119LGN00,148,45,28-04-2020,0.26
2025,,,,,
Hyderabad,LC81440482025104LGN00,144,48,14-04-2025,15.89
Ahmedabad,LC81480442025116LGN00,148,44,26-04-2025,0
,LC81490442025123LGN00,149,44,26-04-2025,0
Pune,LC81470472025125LGN00,147,47,05-05-2025,0.15
Surat,LC81480452025100LGN00,148,45,10-04-2025,5.82
